variant_order,variant,source_instances,reoptimization_instances,solved_reoptimization_instances,optimal_reoptimization_instances,mean_gap_to_baseline_percent,median_gap_to_baseline_percent,max_gap_to_baseline_percent,mean_total_variant_seconds,mean_total_pipeline_seconds,mean_time_delta_to_baseline_seconds,mean_candidate_facility_count,mean_candidate_fraction,mean_replacement_pool_size,mean_replacement_pool_target_size,mean_replacement_pool_shortfall,mean_analysis_memory_size,mean_analysis_components,mean_trajectory_added,mean_trajectory_movements,mean_guard_fallback_rate
1,baseline_all_facilities,12,60,60,60,0.0,0.0,0.0,0.036251458700053266,4.305747672533441,0.0,249.83333333333334,0.9670001955634536,,,,,,,,
2,max_k_cut_original,12,60,51,51,0.11719075054548407,0.0,3.9916315463512637,0.0006450739667343442,4.270141287800121,-0.03560638473331892,3.1333333333333333,0.016061723184072042,3.1333333333333333,3.1333333333333333,0.0,47.416666666666664,2.3333333333333335,0.0,0.0,0.0
3,max_k_cut_mst_trajectory,12,60,51,51,0.2669360164776103,0.0,12.811991762460789,0.0006279566000406097,4.270124170433428,-0.03562350210001265,3.1333333333333333,0.016061723184072042,3.1333333333333333,3.1333333333333333,0.0,49.5,1.0,2.0833333333333335,3.4166666666666665,0.0
4,max_k_cut_pairwise_trajectory,12,60,51,51,0.2669360164776103,0.0,12.811991762460789,0.0005956667166628904,4.2700918805500505,-0.035655791983390375,3.1333333333333333,0.016061723184072042,3.1333333333333333,3.1333333333333333,0.0,54.166666666666664,1.0,6.75,9.75,0.0
5,max_k_cut_mst_range_guard,12,60,50,50,0.0160349015579467,0.0,0.4721617389096074,0.0005298818499644161,4.270026095683352,-0.035721576850088844,2.65,0.013665157114939602,2.65,2.65,0.0,45.5,1.0,1.1666666666666667,1.9166666666666667,0.16666666666666666
6,max_k_cut_pairwise_range_guard,12,60,48,48,0.04135618190559217,0.0,1.4552149348387593,0.0005406449833117221,4.270036858816699,-0.03571081371674154,2.533333333333333,0.0128073139776847,2.533333333333333,2.533333333333333,0.0,43.166666666666664,1.0,0.8333333333333334,1.3333333333333333,0.25
7,random_original_pool_size,12,60,51,51,10.825405755278892,5.574849262120077,67.42420809353332,0.0006253875166294165,4.2701216013500165,-0.03562607118342385,3.1333333333333333,0.016061723184072042,3.1333333333333333,3.1333333333333333,0.0,47.416666666666664,2.3333333333333335,0.0,0.0,0.0
8,nearest_original_pool_size,12,60,51,51,0.14686905002614856,0.0,2.638971960922915,0.0005131433999395086,4.270009357233326,-0.03573831530011375,3.1333333333333333,0.016061723184072042,3.1333333333333333,3.1333333333333333,0.0,47.416666666666664,2.3333333333333335,0.0,0.0,0.0
