variant,variant_order,candidate_facility_count,fixed_facility_count,forbidden_facility_count,candidate_facility_fraction,fixed_facilities,forbidden_facilities,objective_value,model_build_seconds,solve_seconds,total_variant_seconds,evaluated_replacements,open_facilities_count,open_facilities,status,error_message,instance_group,instance,reoptimization_instance,instance_id,n,p,edge_weight_type,raw_path,reference_source,reference_cost,reference_facilities,metaheuristic_runtime_seconds,structure_extraction_runtime_seconds,pre_reoptimization_seconds,removed_facility,removed_facility_zero_based,removal_position,remaining_reference_facilities,remaining_reference_facilities_count,source_ltm_size,top_fraction,top_solution_count,top_cost_cutoff,full_ltm_cost_min,full_ltm_cost_max,top_ltm_cost_min,top_ltm_cost_max,memory_strategy,overlap_with_reference_count,overlap_with_reference_fraction,dropped_reference_facilities_count,new_facilities_count,dropped_reference_facilities,new_facilities,total_pipeline_seconds,analysis_memory_size,analysis_memory_min_cost,analysis_memory_max_cost,analysis_solution_count,analysis_swap_edges,analysis_component_count,analysis_largest_component_size,analysis_smallest_component_size,analysis_is_connected,cooccurrence_active_nodes,cooccurrence_edges,cooccurrence_total_weight,max_k_cut_ignored_nodes,max_k_cut_fraction_cut,max_k_cut_best_facility_separation,pre_connection_component_count,post_connection_component_count,pre_connection_solution_count,post_connection_solution_count,trajectory_added_solution_count,trajectory_movement_count,trajectory_connection_edge_count,trajectory_generated_out_of_range_count,guard_fallback_used,best_component_solution_count,best_component_selection_reason,max_k_cut_removed_group_found,max_k_cut_removed_group_size,max_k_cut_replacement_pool_size,max_k_cut_removed_group,max_k_cut_replacement_pool,max_k_cut_groups_formatted,baseline_status,baseline_objective_value,baseline_total_variant_seconds,baseline_total_pipeline_seconds,gap_to_baseline_percent,time_delta_to_baseline_seconds
max_k_cut_mst_range_guard,5,0,4,1,0.0,30 57 103 105,13,,0.0,4.335000994615257e-06,4.335000994615257e-06,0,0,,INFEASIBLE_POOL,Facility 13 was not found in any max-k-cut group. Max-k-cut local reoptimization will be marked infeasible.,NOT WORK,pr136,pr136__remove_pos_0__facility_14,tsplib_pr136_p5,136,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/pr136.tsp,metaheuristic_best_solution,220692.0,13 30 57 103 105,0.18500641099672066,0.07134462799876928,0.25635103899548994,14,13,0,30 57 103 105,4,626,0.05,32,220692.0,220692.0,223689.0,220692.0,220692.0,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,13 30 57 103 105,,0.25635537399648456,8.0,220692.0,220692.0,8.0,12.0,1.0,8.0,8.0,True,8.0,25.0,80.0,128.0,1.0,0.7,4.0,1.0,32.0,8.0,0.0,0.0,3.0,2.0,True,8.0,minimum_cost_record,0.0,0.0,0.0,,,30 37 | 98 105 | 78 | 115 122 | 32,OPTIMAL,220692.0,0.009444361996429507,0.26579540099191945,,-0.009440026995434891
max_k_cut_original,2,0,4,1,0.0,13 30 103 105,57,,0.0,1.9144994439557195e-05,1.9144994439557195e-05,0,0,,INFEASIBLE_POOL,Facility 57 was not found in any max-k-cut group. Max-k-cut local reoptimization will be marked infeasible.,NOT WORK,pr136,pr136__remove_pos_2__facility_58,tsplib_pr136_p5,136,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/pr136.tsp,metaheuristic_best_solution,220692.0,13 30 57 103 105,0.18500641099672066,0.07134462799876928,0.25635103899548994,58,57,2,13 30 103 105,4,626,0.05,32,220692.0,220692.0,223689.0,220692.0,220692.0,top_ltm_original,0,0.0,5,0,13 30 57 103 105,,0.2563701839899295,32.0,220692.0,220692.0,32.0,48.0,4.0,8.0,8.0,False,18.0,75.0,320.0,118.0,1.0,0.9,,4.0,,32.0,0.0,0.0,,0.0,False,,,0.0,0.0,0.0,,,23 32 35 | 27 30 37 | 71 74 98 105 | 69 78 100 103 | 115 117 119 122,OPTIMAL,221549.0,0.009402766001585405,0.26575380499707535,,-0.009383621007145848
max_k_cut_mst_trajectory,3,0,4,1,0.0,13 30 103 105,57,,0.0,6.4970008679665625e-06,6.4970008679665625e-06,0,0,,INFEASIBLE_POOL,Facility 57 was not found in any max-k-cut group. Max-k-cut local reoptimization will be marked infeasible.,NOT WORK,pr136,pr136__remove_pos_2__facility_58,tsplib_pr136_p5,136,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/pr136.tsp,metaheuristic_best_solution,220692.0,13 30 57 103 105,0.18500641099672066,0.07134462799876928,0.25635103899548994,58,57,2,13 30 103 105,4,626,0.05,32,220692.0,220692.0,223689.0,220692.0,220692.0,top_ltm_mst_trajectory,0,0.0,5,0,13 30 57 103 105,,0.2563575359963579,36.0,220692.0,223879.0,36.0,57.0,1.0,36.0,36.0,True,18.0,80.0,360.0,118.0,0.9972222222222222,0.9,4.0,1.0,32.0,36.0,4.0,7.0,3.0,0.0,False,,,0.0,0.0,0.0,,,27 30 37 | 32 35 69 | 100 103 115 122 | 23 71 74 78 | 98 105 117 119,OPTIMAL,221549.0,0.009402766001585405,0.26575380499707535,,-0.009396269000717439
max_k_cut_pairwise_trajectory,4,0,4,1,0.0,13 30 103 105,57,,0.0,4.801993782166392e-06,4.801993782166392e-06,0,0,,INFEASIBLE_POOL,Facility 57 was not found in any max-k-cut group. Max-k-cut local reoptimization will be marked infeasible.,NOT WORK,pr136,pr136__remove_pos_2__facility_58,tsplib_pr136_p5,136,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/pr136.tsp,metaheuristic_best_solution,220692.0,13 30 57 103 105,0.18500641099672066,0.07134462799876928,0.25635103899548994,58,57,2,13 30 103 105,4,626,0.05,32,220692.0,220692.0,223689.0,220692.0,220692.0,top_ltm_pairwise_trajectory,0,0.0,5,0,13 30 57 103 105,,0.2563558409892721,46.0,220692.0,225924.0,46.0,80.0,1.0,46.0,46.0,True,18.0,91.0,460.0,118.0,1.0,0.9,4.0,1.0,32.0,46.0,14.0,20.0,6.0,0.0,False,,,0.0,0.0,0.0,,,69 71 74 78 | 98 105 117 119 | 27 30 37 | 23 32 35 | 100 103 115 122,OPTIMAL,221549.0,0.009402766001585405,0.26575380499707535,,-0.009397964007803239
max_k_cut_mst_range_guard,5,0,4,1,0.0,13 30 103 105,57,,0.0,4.468995030038059e-06,4.468995030038059e-06,0,0,,INFEASIBLE_POOL,Facility 57 was not found in any max-k-cut group. Max-k-cut local reoptimization will be marked infeasible.,NOT WORK,pr136,pr136__remove_pos_2__facility_58,tsplib_pr136_p5,136,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/pr136.tsp,metaheuristic_best_solution,220692.0,13 30 57 103 105,0.18500641099672066,0.07134462799876928,0.25635103899548994,58,57,2,13 30 103 105,4,626,0.05,32,220692.0,220692.0,223689.0,220692.0,220692.0,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,13 30 57 103 105,,0.25635550799052,8.0,220692.0,220692.0,8.0,12.0,1.0,8.0,8.0,True,8.0,25.0,80.0,128.0,1.0,0.7,4.0,1.0,32.0,8.0,0.0,0.0,3.0,2.0,True,8.0,minimum_cost_record,0.0,0.0,0.0,,,30 37 | 98 105 | 78 | 115 122 | 32,OPTIMAL,221549.0,0.009402766001585405,0.26575380499707535,,-0.009398297006555367
max_k_cut_mst_range_guard,5,0,4,1,0.0,13 30 57 105,103,,0.0,1.976599742192775e-05,1.976599742192775e-05,0,0,,INFEASIBLE_POOL,Facility 103 was not found in any max-k-cut group. Max-k-cut local reoptimization will be marked infeasible.,NOT WORK,pr136,pr136__remove_pos_3__facility_104,tsplib_pr136_p5,136,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/pr136.tsp,metaheuristic_best_solution,220692.0,13 30 57 103 105,0.18500641099672066,0.07134462799876928,0.25635103899548994,104,103,3,13 30 57 105,4,626,0.05,32,220692.0,220692.0,223689.0,220692.0,220692.0,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,13 30 57 103 105,,0.25637080499291187,8.0,220692.0,220692.0,8.0,12.0,1.0,8.0,8.0,True,8.0,25.0,80.0,128.0,1.0,0.7,4.0,1.0,32.0,8.0,0.0,0.0,3.0,2.0,True,8.0,minimum_cost_record,0.0,0.0,0.0,,,30 37 | 98 105 | 78 | 115 122 | 32,OPTIMAL,221067.0,0.009716510998259764,0.2660675499937497,,-0.009696745000837836
max_k_cut_mst_range_guard,5,0,4,1,0.0,7 48 93 171,131,,0.0,1.9552004232537e-05,1.9552004232537e-05,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT WORK,pr226,pr226__remove_pos_3__facility_132,tsplib_pr226_p5,226,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/pr226.tsp,metaheuristic_best_solution,396560.0,7 48 93 131 171,0.6999993630015524,0.07011898400378413,0.7701183470053365,132,131,3,7 48 93 171,4,807,0.05,41,397137.0,396560.0,399453.0,396560.0,397137.0,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,7 48 93 131 171,,0.7701378990095691,29.0,396560.0,397137.0,29.0,75.0,1.0,29.0,29.0,True,12.0,52.0,290.0,214.0,1.0,1.0,2.0,1.0,41.0,29.0,0.0,0.0,1.0,2.0,True,29.0,exact_best_solution_match,1.0,1.0,0.0,131,,7 71 | 170 171 172 173 | 27 48 | 131 | 92 93 101,OPTIMAL,397206.0,0.017518647000542842,0.7876369940058794,,-0.017499094996310305
max_k_cut_original,2,0,4,1,0.0,51 88 108 229,321,,0.0,2.1742998796980828e-05,2.1742998796980828e-05,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,ali535,ali535__remove_pos_4__facility_322,tsplib_ali535_p5,535,5,GEO,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/ali535.tsp,metaheuristic_best_solution,958246.0,51 88 108 229 321,12.572019352002826,0.20216642099694582,12.774185772999772,322,321,4,51 88 108 229,4,2278,0.05,114,960423.0,958246.0,988962.0,958246.0,960423.0,top_ltm_original,0,0.0,5,0,51 88 108 229 321,,12.774207515998569,114.0,958246.0,960423.0,114.0,506.0,1.0,114.0,114.0,True,23.0,135.0,1140.0,512.0,1.0,1.0,,1.0,,114.0,0.0,0.0,,0.0,False,,,1.0,1.0,0.0,321,,9 32 51 | 321 | 88 92 211 318 336 344 491 532 | 81 108 254 297 298 | 116 124 137 138 229 364,OPTIMAL,961562.0,0.14517925299878698,12.919365025998559,,-0.14515750999999
max_k_cut_mst_trajectory,3,0,4,1,0.0,51 88 108 229,321,,0.0,2.241200127173215e-05,2.241200127173215e-05,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,ali535,ali535__remove_pos_4__facility_322,tsplib_ali535_p5,535,5,GEO,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/ali535.tsp,metaheuristic_best_solution,958246.0,51 88 108 229 321,12.572019352002826,0.20216642099694582,12.774185772999772,322,321,4,51 88 108 229,4,2278,0.05,114,960423.0,958246.0,988962.0,958246.0,960423.0,top_ltm_mst_trajectory,0,0.0,5,0,51 88 108 229 321,,12.774208185001044,114.0,958246.0,960423.0,114.0,506.0,1.0,114.0,114.0,True,23.0,135.0,1140.0,512.0,1.0,1.0,1.0,1.0,114.0,114.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,321,,9 32 51 | 321 | 88 92 211 318 336 344 491 532 | 81 108 254 297 298 | 116 124 137 138 229 364,OPTIMAL,961562.0,0.14517925299878698,12.919365025998559,,-0.14515684099751525
max_k_cut_pairwise_trajectory,4,0,4,1,0.0,51 88 108 229,321,,0.0,5.500005499925464e-06,5.500005499925464e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,ali535,ali535__remove_pos_4__facility_322,tsplib_ali535_p5,535,5,GEO,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/ali535.tsp,metaheuristic_best_solution,958246.0,51 88 108 229 321,12.572019352002826,0.20216642099694582,12.774185772999772,322,321,4,51 88 108 229,4,2278,0.05,114,960423.0,958246.0,988962.0,958246.0,960423.0,top_ltm_pairwise_trajectory,0,0.0,5,0,51 88 108 229 321,,12.774191273005272,114.0,958246.0,960423.0,114.0,506.0,1.0,114.0,114.0,True,23.0,135.0,1140.0,512.0,1.0,1.0,1.0,1.0,114.0,114.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,321,,9 32 51 | 321 | 88 92 211 318 336 344 491 532 | 81 108 254 297 298 | 116 124 137 138 229 364,OPTIMAL,961562.0,0.14517925299878698,12.919365025998559,,-0.14517375299328705
