variant,variant_order,candidate_facility_count,fixed_facility_count,forbidden_facility_count,candidate_facility_fraction,fixed_facilities,forbidden_facilities,objective_value,model_build_seconds,solve_seconds,total_variant_seconds,evaluated_replacements,open_facilities_count,open_facilities,status,error_message,instance_group,instance,reoptimization_instance,instance_id,n,p,edge_weight_type,raw_path,reference_source,reference_cost,reference_facilities,metaheuristic_runtime_seconds,structure_extraction_runtime_seconds,pre_reoptimization_seconds,removed_facility,removed_facility_zero_based,removal_position,remaining_reference_facilities,remaining_reference_facilities_count,source_ltm_size,top_fraction,top_solution_count,top_cost_cutoff,full_ltm_cost_min,full_ltm_cost_max,top_ltm_cost_min,top_ltm_cost_max,memory_strategy,overlap_with_reference_count,overlap_with_reference_fraction,dropped_reference_facilities_count,new_facilities_count,dropped_reference_facilities,new_facilities,total_pipeline_seconds,analysis_memory_size,analysis_memory_min_cost,analysis_memory_max_cost,analysis_solution_count,analysis_swap_edges,analysis_component_count,analysis_largest_component_size,analysis_smallest_component_size,analysis_is_connected,cooccurrence_active_nodes,cooccurrence_edges,cooccurrence_total_weight,max_k_cut_ignored_nodes,max_k_cut_fraction_cut,max_k_cut_best_facility_separation,pre_connection_component_count,post_connection_component_count,pre_connection_solution_count,post_connection_solution_count,trajectory_added_solution_count,trajectory_movement_count,trajectory_connection_edge_count,trajectory_generated_out_of_range_count,guard_fallback_used,best_component_solution_count,best_component_selection_reason,max_k_cut_removed_group_found,max_k_cut_removed_group_size,max_k_cut_replacement_pool_size,max_k_cut_removed_group,max_k_cut_replacement_pool,max_k_cut_groups_formatted,baseline_status,baseline_objective_value,baseline_total_variant_seconds,baseline_total_pipeline_seconds,gap_to_baseline_percent,time_delta_to_baseline_seconds
max_k_cut_mst_range_guard,5,0,4,1,0.0,51 88 108 229,321,,0.0,4.606998118106276e-06,4.606998118106276e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,ali535,ali535__remove_pos_4__facility_322,tsplib_ali535_p5,535,5,GEO,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/ali535.tsp,metaheuristic_best_solution,958246.0,51 88 108 229 321,12.572019352002826,0.20216642099694582,12.774185772999772,322,321,4,51 88 108 229,4,2278,0.05,114,960423.0,958246.0,988962.0,958246.0,960423.0,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,51 88 108 229 321,,12.77419037999789,114.0,958246.0,960423.0,114.0,506.0,1.0,114.0,114.0,True,23.0,135.0,1140.0,512.0,1.0,1.0,1.0,1.0,114.0,114.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,321,,9 32 51 | 321 | 88 92 211 318 336 344 491 532 | 81 108 254 297 298 | 116 124 137 138 229 364,OPTIMAL,961562.0,0.14517925299878698,12.919365025998559,,-0.14517464600066887
max_k_cut_original,2,0,4,1,0.0,5 14 21 24,9,,0.0,1.837799936765805e-05,1.837799936765805e-05,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att48,att48__remove_pos_1__facility_10,tsplib_att48_p5,48,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att48.tsp,metaheuristic_best_solution,12568.0,5 9 14 21 24,0.023501686002418865,0.028867855995486025,0.05236954199790489,10,9,1,5 14 21 24,4,138,0.05,7,12734.0,12568.0,13136.0,12568.0,12734.0,top_ltm_original,0,0.0,5,0,5 9 14 21 24,,0.05238791999727255,7.0,12568.0,12734.0,7.0,9.0,1.0,7.0,7.0,True,11.0,34.0,70.0,37.0,1.0,1.0,,1.0,,7.0,0.0,0.0,,0.0,False,,,1.0,1.0,0.0,9,,0 15 21 | 11 14 32 45 | 9 | 5 29 | 24,OPTIMAL,12817.0,0.0033544960024300963,0.055724038000334986,,-0.0033361180030624382
max_k_cut_mst_trajectory,3,0,4,1,0.0,5 14 21 24,9,,0.0,5.8820005506277084e-06,5.8820005506277084e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att48,att48__remove_pos_1__facility_10,tsplib_att48_p5,48,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att48.tsp,metaheuristic_best_solution,12568.0,5 9 14 21 24,0.023501686002418865,0.028867855995486025,0.05236954199790489,10,9,1,5 14 21 24,4,138,0.05,7,12734.0,12568.0,13136.0,12568.0,12734.0,top_ltm_mst_trajectory,0,0.0,5,0,5 9 14 21 24,,0.05237542399845552,7.0,12568.0,12734.0,7.0,9.0,1.0,7.0,7.0,True,11.0,34.0,70.0,37.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,9,,0 15 21 | 11 14 32 45 | 9 | 5 29 | 24,OPTIMAL,12817.0,0.0033544960024300963,0.055724038000334986,,-0.0033486140018794686
max_k_cut_pairwise_trajectory,4,0,4,1,0.0,5 14 21 24,9,,0.0,4.526002157945186e-06,4.526002157945186e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att48,att48__remove_pos_1__facility_10,tsplib_att48_p5,48,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att48.tsp,metaheuristic_best_solution,12568.0,5 9 14 21 24,0.023501686002418865,0.028867855995486025,0.05236954199790489,10,9,1,5 14 21 24,4,138,0.05,7,12734.0,12568.0,13136.0,12568.0,12734.0,top_ltm_pairwise_trajectory,0,0.0,5,0,5 9 14 21 24,,0.052374068000062834,7.0,12568.0,12734.0,7.0,9.0,1.0,7.0,7.0,True,11.0,34.0,70.0,37.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,9,,0 15 21 | 11 14 32 45 | 9 | 5 29 | 24,OPTIMAL,12817.0,0.0033544960024300963,0.055724038000334986,,-0.003349970000272151
max_k_cut_mst_range_guard,5,0,4,1,0.0,5 14 21 24,9,,0.0,3.93899972550571e-06,3.93899972550571e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att48,att48__remove_pos_1__facility_10,tsplib_att48_p5,48,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att48.tsp,metaheuristic_best_solution,12568.0,5 9 14 21 24,0.023501686002418865,0.028867855995486025,0.05236954199790489,10,9,1,5 14 21 24,4,138,0.05,7,12734.0,12568.0,13136.0,12568.0,12734.0,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,5 9 14 21 24,,0.052373480997630395,7.0,12568.0,12734.0,7.0,9.0,1.0,7.0,7.0,True,11.0,34.0,70.0,37.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,9,,0 15 21 | 11 14 32 45 | 9 | 5 29 | 24,OPTIMAL,12817.0,0.0033544960024300963,0.055724038000334986,,-0.0033505570027045906
max_k_cut_original,2,0,4,1,0.0,5 9 14 21,24,,0.0,1.9188999431207776e-05,1.9188999431207776e-05,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att48,att48__remove_pos_4__facility_25,tsplib_att48_p5,48,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att48.tsp,metaheuristic_best_solution,12568.0,5 9 14 21 24,0.023501686002418865,0.028867855995486025,0.05236954199790489,25,24,4,5 9 14 21,4,138,0.05,7,12734.0,12568.0,13136.0,12568.0,12734.0,top_ltm_original,0,0.0,5,0,5 9 14 21 24,,0.0523887309973361,7.0,12568.0,12734.0,7.0,9.0,1.0,7.0,7.0,True,11.0,34.0,70.0,37.0,1.0,1.0,,1.0,,7.0,0.0,0.0,,0.0,False,,,1.0,1.0,0.0,24,,0 15 21 | 11 14 32 45 | 9 | 5 29 | 24,OPTIMAL,12897.0,0.003431095006817486,0.055800637004722375,,-0.0034119060073862784
max_k_cut_mst_trajectory,3,0,4,1,0.0,5 9 14 21,24,,0.0,7.224000000860542e-06,7.224000000860542e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att48,att48__remove_pos_4__facility_25,tsplib_att48_p5,48,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att48.tsp,metaheuristic_best_solution,12568.0,5 9 14 21 24,0.023501686002418865,0.028867855995486025,0.05236954199790489,25,24,4,5 9 14 21,4,138,0.05,7,12734.0,12568.0,13136.0,12568.0,12734.0,top_ltm_mst_trajectory,0,0.0,5,0,5 9 14 21 24,,0.05237676599790575,7.0,12568.0,12734.0,7.0,9.0,1.0,7.0,7.0,True,11.0,34.0,70.0,37.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,24,,0 15 21 | 11 14 32 45 | 9 | 5 29 | 24,OPTIMAL,12897.0,0.003431095006817486,0.055800637004722375,,-0.0034238710068166256
max_k_cut_pairwise_trajectory,4,0,4,1,0.0,5 9 14 21,24,,0.0,4.403998900670558e-06,4.403998900670558e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att48,att48__remove_pos_4__facility_25,tsplib_att48_p5,48,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att48.tsp,metaheuristic_best_solution,12568.0,5 9 14 21 24,0.023501686002418865,0.028867855995486025,0.05236954199790489,25,24,4,5 9 14 21,4,138,0.05,7,12734.0,12568.0,13136.0,12568.0,12734.0,top_ltm_pairwise_trajectory,0,0.0,5,0,5 9 14 21 24,,0.05237394599680556,7.0,12568.0,12734.0,7.0,9.0,1.0,7.0,7.0,True,11.0,34.0,70.0,37.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,24,,0 15 21 | 11 14 32 45 | 9 | 5 29 | 24,OPTIMAL,12897.0,0.003431095006817486,0.055800637004722375,,-0.0034266910079168156
max_k_cut_mst_range_guard,5,0,4,1,0.0,5 9 14 21,24,,0.0,4.35599940828979e-06,4.35599940828979e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att48,att48__remove_pos_4__facility_25,tsplib_att48_p5,48,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att48.tsp,metaheuristic_best_solution,12568.0,5 9 14 21 24,0.023501686002418865,0.028867855995486025,0.05236954199790489,25,24,4,5 9 14 21,4,138,0.05,7,12734.0,12568.0,13136.0,12568.0,12734.0,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,5 9 14 21 24,,0.05237389799731318,7.0,12568.0,12734.0,7.0,9.0,1.0,7.0,7.0,True,11.0,34.0,70.0,37.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,24,,0 15 21 | 11 14 32 45 | 9 | 5 29 | 24,OPTIMAL,12897.0,0.003431095006817486,0.055800637004722375,,-0.0034267390074091963
max_k_cut_original,2,0,4,1,0.0,86 203 387 453,421,,0.0,2.0477993530221283e-05,2.0477993530221283e-05,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att532,att532__remove_pos_3__facility_422,tsplib_att532_p5,532,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att532.tsp,metaheuristic_best_solution,142377.0,86 203 387 421 453,12.249059465997561,0.17040148800151655,12.419460953999078,422,421,3,86 203 387 453,4,1876,0.05,94,142747.0,142377.0,150185.0,142377.0,142747.0,top_ltm_original,0,0.0,5,0,86 203 387 421 453,,12.419481431992608,94.0,142377.0,142747.0,94.0,417.0,1.0,94.0,94.0,True,28.0,162.0,940.0,504.0,1.0,1.0,,1.0,,94.0,0.0,0.0,,0.0,False,,,1.0,1.0,0.0,421,,367 372 380 387 390 401 | 421 | 187 193 203 | 70 82 86 92 93 95 99 103 111 113 114 | 439 448 453 454 457 458 461,OPTIMAL,142995.0,0.06638502400164725,12.485845978000725,,-0.06636454600811703
max_k_cut_mst_trajectory,3,0,4,1,0.0,86 203 387 453,421,,0.0,5.931993655394763e-06,5.931993655394763e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att532,att532__remove_pos_3__facility_422,tsplib_att532_p5,532,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att532.tsp,metaheuristic_best_solution,142377.0,86 203 387 421 453,12.249059465997561,0.17040148800151655,12.419460953999078,422,421,3,86 203 387 453,4,1876,0.05,94,142747.0,142377.0,150185.0,142377.0,142747.0,top_ltm_mst_trajectory,0,0.0,5,0,86 203 387 421 453,,12.419466885992733,94.0,142377.0,142747.0,94.0,417.0,1.0,94.0,94.0,True,28.0,162.0,940.0,504.0,1.0,1.0,1.0,1.0,94.0,94.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,421,,367 372 380 387 390 401 | 421 | 187 193 203 | 70 82 86 92 93 95 99 103 111 113 114 | 439 448 453 454 457 458 461,OPTIMAL,142995.0,0.06638502400164725,12.485845978000725,,-0.06637909200799186
max_k_cut_pairwise_trajectory,4,0,4,1,0.0,86 203 387 453,421,,0.0,5.490997864399105e-06,5.490997864399105e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att532,att532__remove_pos_3__facility_422,tsplib_att532_p5,532,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att532.tsp,metaheuristic_best_solution,142377.0,86 203 387 421 453,12.249059465997561,0.17040148800151655,12.419460953999078,422,421,3,86 203 387 453,4,1876,0.05,94,142747.0,142377.0,150185.0,142377.0,142747.0,top_ltm_pairwise_trajectory,0,0.0,5,0,86 203 387 421 453,,12.419466444996942,94.0,142377.0,142747.0,94.0,417.0,1.0,94.0,94.0,True,28.0,162.0,940.0,504.0,1.0,1.0,1.0,1.0,94.0,94.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,421,,367 372 380 387 390 401 | 421 | 187 193 203 | 70 82 86 92 93 95 99 103 111 113 114 | 439 448 453 454 457 458 461,OPTIMAL,142995.0,0.06638502400164725,12.485845978000725,,-0.06637953300378285
max_k_cut_mst_range_guard,5,0,4,1,0.0,86 203 387 453,421,,0.0,4.451001586858183e-06,4.451001586858183e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,NOT NECESSARY,att532,att532__remove_pos_3__facility_422,tsplib_att532_p5,532,5,ATT,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/att532.tsp,metaheuristic_best_solution,142377.0,86 203 387 421 453,12.249059465997561,0.17040148800151655,12.419460953999078,422,421,3,86 203 387 453,4,1876,0.05,94,142747.0,142377.0,150185.0,142377.0,142747.0,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,86 203 387 421 453,,12.419465405000665,94.0,142377.0,142747.0,94.0,417.0,1.0,94.0,94.0,True,28.0,162.0,940.0,504.0,1.0,1.0,1.0,1.0,94.0,94.0,0.0,0.0,0.0,0.0,False,,,1.0,1.0,0.0,421,,367 372 380 387 390 401 | 421 | 187 193 203 | 70 82 86 92 93 95 99 103 111 113 114 | 439 448 453 454 457 458 461,OPTIMAL,142995.0,0.06638502400164725,12.485845978000725,,-0.0663805730000604
