variant_order,variant,instances,solved_instances,optimal_instances,feasible_instances,mean_candidate_facility_count,mean_candidate_facility_fraction,mean_objective_value,mean_improvement_over_previous_pct,mean_gap_to_unrestricted_pct,mean_total_variant_seconds,mean_full_pipeline_seconds
1,baseline,20,19,19,19,250.0,1.0,4222.105263157895,0.006320437556432817,0.0,43.39246179995043,45.06970900920078
2,highest_k_core,20,20,20,20,39.55,0.16366666666666668,4419.15,0.001038637307852098,0.005230256162403406,2.3391467923502205,4.016394001600565
3,densest_subgraph,20,20,20,20,35.95,0.14829166666666665,4420.15,-0.06009127029715563,0.06957957258058167,1.2909669849505008,2.9682141942008458
4,nonzero_frequency,20,20,20,20,43.1,0.175125,4419.05,0.003115911923556294,0.0030422878004259203,2.963384364749982,4.640631574000326
5,top_frequency_k_core_size,20,20,20,20,39.55,0.16366666666666668,4419.2,0.0,0.006324240343392149,2.3308721048000733,4.008119314050418
6,top_frequency_densest_size,20,20,20,20,35.95,0.14829166666666665,4420.15,-0.06009127029715563,0.06957957258058167,1.292736502499065,2.9699837117494097
