variant,instances,solved_instances,optimal_instances,mean_candidate_facility_fraction,mean_total_variant_seconds,mean_full_pipeline_seconds,mean_improvement_over_previous_pct,mean_gap_to_unrestricted_pct
baseline,20,19,19,1.0,46.12386509959997,50.92267545435006,0.010540242401165146,0.0
densest_subgraph,20,20,20,0.14891666666666667,1.537447540300036,6.33625789505013,-0.03860507261248151,0.051194410627906285
highest_k_core,20,20,20,0.17225000000000001,3.20285648665008,8.001666841400175,-0.004114883351985496,0.014874106573977978
k_core_densest_union,20,20,20,0.17241666666666666,3.2077505876501164,8.00656094240021,-0.004114883351985496,0.014874106573977978
max_p_cut,20,19,19,1.0,49.96561622445015,54.76442657920025,0.0027044966645138157,0.007839802824419298
