instance,instance_id,n,p,best_known_cost,metaheuristic_best_cost,metaheuristic_gap_percent,metaheuristic_runtime_seconds,structure_extraction_runtime_seconds,perturbation_runtime_seconds,pre_reoptimization_seconds,previous_solution_perturbed_objective,previous_solution_degradation_percent,memory_size,top_solution_count,top_cost_cutoff,cooccurrence_edges,cooccurrence_total_weight,max_p_cut_fraction_cut,max_p_cut_best_facility_separation,k_core_max_level,k_core_candidate_count,k_core_candidate_fraction,k_core_best_set_recall,densest_subgraph_candidate_count,densest_subgraph_candidate_fraction,densest_subgraph_density,densest_subgraph_best_set_recall,k_core_densest_union_candidate_count,k_core_densest_union_candidate_fraction,k_core_densest_union_best_set_recall,perturbation_delta,perturbation_seed,perturbation_edge_count,perturbation_mean_multiplier,baseline__status,densest_subgraph__status,highest_k_core__status,k_core_densest_union__status,max_p_cut__status,baseline__candidate_facility_count,densest_subgraph__candidate_facility_count,highest_k_core__candidate_facility_count,k_core_densest_union__candidate_facility_count,max_p_cut__candidate_facility_count,baseline__candidate_facility_fraction,densest_subgraph__candidate_facility_fraction,highest_k_core__candidate_facility_fraction,k_core_densest_union__candidate_facility_fraction,max_p_cut__candidate_facility_fraction,baseline__objective_value,densest_subgraph__objective_value,highest_k_core__objective_value,k_core_densest_union__objective_value,max_p_cut__objective_value,baseline__improvement_over_previous_percent,densest_subgraph__improvement_over_previous_percent,highest_k_core__improvement_over_previous_percent,k_core_densest_union__improvement_over_previous_percent,max_p_cut__improvement_over_previous_percent,baseline__gap_to_unrestricted_percent,densest_subgraph__gap_to_unrestricted_percent,highest_k_core__gap_to_unrestricted_percent,k_core_densest_union__gap_to_unrestricted_percent,max_p_cut__gap_to_unrestricted_percent,baseline__model_build_seconds,densest_subgraph__model_build_seconds,highest_k_core__model_build_seconds,k_core_densest_union__model_build_seconds,max_p_cut__model_build_seconds,baseline__solve_seconds,densest_subgraph__solve_seconds,highest_k_core__solve_seconds,k_core_densest_union__solve_seconds,max_p_cut__solve_seconds,baseline__total_variant_seconds,densest_subgraph__total_variant_seconds,highest_k_core__total_variant_seconds,k_core_densest_union__total_variant_seconds,max_p_cut__total_variant_seconds,baseline__full_pipeline_seconds,densest_subgraph__full_pipeline_seconds,highest_k_core__full_pipeline_seconds,k_core_densest_union__full_pipeline_seconds,max_p_cut__full_pipeline_seconds
pmed1.txt,pmed1,100,5,5819.0,5819.0,0.0,0.0348390669996661,0.02064870100002736,0.010943513999336574,0.06643128199903003,5830,0.1890359168241966,131,14,5859.0,41,140.0,1.0,1.0,6,10,0.1,1.0,7,0.07,13.857142857142858,1.0,10,0.1,1.0,0.1,42,198,0.9986725217185228,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,100,7,10,10,100,1.0,0.07,0.1,0.1,1.0,5830.0,5830.0,5830.0,5830.0,5830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2366986460001499,0.006328202999611676,0.01054797699998744,0.00887594999949215,0.09206184200047574,1.1740182610001284,0.05174430900024163,0.0744851560002644,0.0998669050004537,0.6226300640000773,1.4107169070002783,0.058072511999853305,0.08503313300025184,0.10874285499994585,0.714691906000553,1.4771481889993083,0.12450379399888334,0.15146441499928187,0.17517413699897588,0.781123187999583
pmed2.txt,pmed2,100,10,4093.0,4093.0,0.0,0.06808219100003043,0.012948231999871496,0.01016892600000574,0.09119934899990767,4087,-0.1465917419985341,121,13,4101.0,104,585.0,1.0,1.0,11,13,0.13,1.0,11,0.11,42.72727272727273,1.0,13,0.13,1.0,0.1,43,193,0.992151475744006,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,100,11,13,13,100,1.0,0.11,0.13,0.13,1.0,4087.0,4087.0,4087.0,4087.0,4087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804943370003457,0.012508206000347855,0.011181083999872499,0.011524716999701923,0.08129295100025047,1.9855698659994232,0.07612428900029045,0.08971769899926585,0.09188174700011587,0.6437144929996066,2.066064202999769,0.0886324950006383,0.10089878299913835,0.10340646399981779,0.7250074439998571,2.1572635519996766,0.17983184400054597,0.19209813199904602,0.19460581299972546,0.8162067929997647
pmed3.txt,pmed3,100,10,4250.0,4250.0,0.0,0.06113815499975317,0.013694025999939186,0.010236690000056115,0.08506887099974847,4237,-0.3058823529411765,127,13,4256.0,123,585.0,1.0,1.0,11,14,0.14,1.0,10,0.1,40.0,0.9,14,0.14,1.0,0.1,44,198,0.9929627710476489,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,100,10,14,14,100,1.0,0.1,0.14,0.14,1.0,4237.0,4237.0,4237.0,4237.0,4237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08075661600014428,0.008917991000089387,0.012150717999247718,0.012275804000637436,0.09126019199993607,1.9658591910001633,0.005756542000199261,0.09490246000041225,0.10137107199989259,0.6297184579998429,2.0466158070003075,0.014674533000288648,0.10705317799965997,0.11364687600053003,0.720978649999779,2.131684678000056,0.09974340400003712,0.19212204899940843,0.1987157470002785,0.8060475209995275
pmed4.txt,pmed4,100,20,3034.0,3034.0,0.0,0.09743496699957177,0.014427948000047763,0.00992574700012483,0.12178866199974436,3019,-0.4943968358602505,111,12,3034.0,272,2280.0,1.0,0.9947368421052631,22,24,0.24,0.95,20,0.2,96.4,0.8,24,0.24,0.95,0.1,45,196,0.9775027530329876,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,100,20,24,24,100,1.0,0.2,0.24,0.24,1.0,3019.0,3019.0,3019.0,3019.0,3019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08039932799965754,0.02398207399983221,0.020558451999932004,0.02130269600002066,0.08947458300008293,1.0991332069997952,0.016407572999924014,0.17202740100037772,0.18175079499997082,1.093034718999661,1.1795325349994528,0.040389646999756224,0.19258585300030973,0.20305349099999148,1.182509301999744,1.3013211969991971,0.1621783089995006,0.3143745150000541,0.32484215299973584,1.3042979639994883
pmed5.txt,pmed5,100,33,1355.0,1355.0,0.0,0.1599250529998244,0.02500289799991151,0.01396907700018346,0.19889702799991937,1357,0.14760147601476015,95,10,1355.0,660,5280.0,1.0,0.9962121212121212,34,36,0.36,0.9090909090909091,34,0.34,145.94117647058823,0.8484848484848485,36,0.36,0.9090909090909091,0.1,46,196,0.9977671706759835,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,100,34,36,36,100,1.0,0.34,0.36,0.36,1.0,1357.0,1357.0,1357.0,1357.0,1357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08591687199987064,0.027985644999716897,0.031726661999528005,0.03085252299933927,0.10857389600005263,1.236640838999847,0.2564872519997152,0.2790539779998653,0.26919475800059445,1.0679256540006463,1.3225577109997175,0.2844728969994321,0.3107806399993933,0.3000472809999337,1.176499550000699,1.521454738999637,0.4833699249993515,0.5096776679993127,0.4989443089998531,1.3753965780006183
pmed6.txt,pmed6,200,5,7824.0,7824.0,0.0,0.2666262929997174,0.0341214640002363,0.10651633399993443,0.40726409099988814,7829,0.06390593047034765,240,24,7873.0,60,240.0,1.0,1.0,6,10,0.05,1.0,7,0.035,22.857142857142858,1.0,10,0.05,1.0,0.1,47,786,1.0156024607003658,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,200,7,10,10,200,1.0,0.035,0.05,0.05,1.0,7829.0,7829.0,7829.0,7829.0,7829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40066668199960986,0.01288388600005419,0.018552558000010322,0.016837080999721366,0.3373979990001317,129.59020010600034,0.11643891200037615,0.1860375890000796,0.1682736279999517,119.6787423450005,129.99086678799995,0.12932279800043034,0.20459014700008993,0.18511070899967308,120.01614034400063,130.39813087899984,0.5365868890003185,0.6118542379999781,0.5923747999995612,120.42340443500052
pmed7.txt,pmed7,200,10,5631.0,5631.0,0.0,0.41321541399975104,0.0376647810007853,0.06573716699949728,0.5166173620000336,5634,0.05327650506126798,123,13,5644.0,122,585.0,1.0,1.0,10,17,0.085,1.0,10,0.05,42.2,0.9,17,0.085,1.0,0.1,48,779,1.0000123460857258,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,200,10,17,17,200,1.0,0.05,0.085,0.085,1.0,5633.0,5633.0,5633.0,5633.0,5633.0,0.01774937877174299,0.01774937877174299,0.01774937877174299,0.01774937877174299,0.01774937877174299,0.0,0.0,0.0,0.0,0.0,0.32484288799969363,0.01797234900004696,0.02962928800025111,0.02809032400000433,0.3381523289999677,11.191478046000157,0.009898676999910094,0.2938220129999536,0.28730139799972676,5.170998403999874,11.51632093399985,0.027871025999957055,0.3234513010002047,0.3153917219997311,5.509150732999842,12.032938295999884,0.5444883879999907,0.8400686630002383,0.8320090839997647,6.025768094999876
pmed8.txt,pmed8,200,20,4445.0,4445.0,0.0,0.7837548269999388,0.03624460100036231,0.06497562000004109,0.8849750480003422,4436,-0.20247469066366705,56,6,4446.0,249,1140.0,1.0,1.0,20,23,0.115,1.0,21,0.105,50.666666666666664,0.95,23,0.115,1.0,0.1,49,792,0.9937653055680419,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,200,21,23,23,200,1.0,0.105,0.115,0.115,1.0,4436.0,4436.0,4436.0,4436.0,4436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32434672999988834,0.03568783899936534,0.039146008999523474,0.0438822309997704,0.32831090900072013,9.646887177999815,0.31877885300036723,0.39275434099999984,0.414519767999991,4.153394810000464,9.971233907999704,0.3544666919997326,0.4319003499995233,0.4584019989997614,4.481705719001184,10.856208956000046,1.2394417400000748,1.3168753979998655,1.3433770470001036,5.366680767001526
pmed9.txt,pmed9,200,40,2734.0,2734.0,0.0,1.3555562399997143,0.042175749000307405,0.0648690970001553,1.462601086000177,2727,-0.25603511338697876,154,16,2740.0,1463,12480.0,0.9995192307692308,1.0,46,49,0.245,0.95,41,0.205,243.6341463414634,0.925,49,0.245,0.95,0.1,50,785,0.9804955385379955,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,200,41,49,49,200,1.0,0.205,0.245,0.245,1.0,2727.0,2731.0,2731.0,2731.0,2727.0,0.0,-0.14668133480014667,-0.14668133480014667,-0.14668133480014667,0.0,0.0,0.14668133480014667,0.14668133480014667,0.14668133480014667,0.0,0.3216650159993151,0.06665181599964853,0.07892945799994777,0.08539997599928029,0.3426256309994642,9.719719096000517,0.8177275980006016,1.0795292020002307,1.0984742939999705,10.881492161000097,10.041384111999832,0.8843794140002501,1.1584586600001785,1.1838742699992508,11.22411779199956,11.50398519800001,2.346980500000427,2.6210597460003555,2.646475355999428,12.686718877999738
pmed10.txt,pmed10,200,67,1255.0,1255.0,0.0,1.9498460660006458,0.047201354000208084,0.06857556900013151,2.0656229890009854,1253,-0.1593625498007968,171,18,1255.0,3302,39798.0,1.0,0.9995477159656264,72,75,0.375,0.8955223880597015,67,0.335,523.0746268656717,0.8507462686567164,75,0.375,0.8955223880597015,0.1,51,786,0.9891512753684775,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,200,67,75,75,200,1.0,0.335,0.375,0.375,1.0,1253.0,1253.0,1253.0,1253.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3227178779998212,0.11054892799984373,0.11996078599986504,0.13156680400061305,0.32329634800044005,9.893610334999721,0.06117924799946195,2.1308383750001667,2.0975253320002594,9.976913414000592,10.216328212999542,0.17172817599930568,2.2507991610000317,2.2290921360008724,10.300209762001032,12.281951202000528,2.237351165000291,4.316422150001017,4.294715125001858,12.365832751002017
