instance_group,source_instances,reoptimization_instances,baseline_all_facilities__mean_gap_to_baseline_percent,max_k_cut_mst_range_guard__mean_gap_to_baseline_percent,max_k_cut_mst_trajectory__mean_gap_to_baseline_percent,max_k_cut_original__mean_gap_to_baseline_percent,max_k_cut_pairwise_range_guard__mean_gap_to_baseline_percent,max_k_cut_pairwise_trajectory__mean_gap_to_baseline_percent,nearest_original_pool_size__mean_gap_to_baseline_percent,random_original_pool_size__mean_gap_to_baseline_percent,baseline_all_facilities__mean_total_variant_seconds,max_k_cut_mst_range_guard__mean_total_variant_seconds,max_k_cut_mst_trajectory__mean_total_variant_seconds,max_k_cut_original__mean_total_variant_seconds,max_k_cut_pairwise_range_guard__mean_total_variant_seconds,max_k_cut_pairwise_trajectory__mean_total_variant_seconds,nearest_original_pool_size__mean_total_variant_seconds,random_original_pool_size__mean_total_variant_seconds,baseline_all_facilities__mean_total_pipeline_seconds,max_k_cut_mst_range_guard__mean_total_pipeline_seconds,max_k_cut_mst_trajectory__mean_total_pipeline_seconds,max_k_cut_original__mean_total_pipeline_seconds,max_k_cut_pairwise_range_guard__mean_total_pipeline_seconds,max_k_cut_pairwise_trajectory__mean_total_pipeline_seconds,nearest_original_pool_size__mean_total_pipeline_seconds,random_original_pool_size__mean_total_pipeline_seconds,baseline_all_facilities__mean_time_delta_to_baseline_seconds,max_k_cut_mst_range_guard__mean_time_delta_to_baseline_seconds,max_k_cut_mst_trajectory__mean_time_delta_to_baseline_seconds,max_k_cut_original__mean_time_delta_to_baseline_seconds,max_k_cut_pairwise_range_guard__mean_time_delta_to_baseline_seconds,max_k_cut_pairwise_trajectory__mean_time_delta_to_baseline_seconds,nearest_original_pool_size__mean_time_delta_to_baseline_seconds,random_original_pool_size__mean_time_delta_to_baseline_seconds,baseline_all_facilities__mean_candidate_fraction,max_k_cut_mst_range_guard__mean_candidate_fraction,max_k_cut_mst_trajectory__mean_candidate_fraction,max_k_cut_original__mean_candidate_fraction,max_k_cut_pairwise_range_guard__mean_candidate_fraction,max_k_cut_pairwise_trajectory__mean_candidate_fraction,nearest_original_pool_size__mean_candidate_fraction,random_original_pool_size__mean_candidate_fraction,baseline_all_facilities__mean_replacement_pool_size,max_k_cut_mst_range_guard__mean_replacement_pool_size,max_k_cut_mst_trajectory__mean_replacement_pool_size,max_k_cut_original__mean_replacement_pool_size,max_k_cut_pairwise_range_guard__mean_replacement_pool_size,max_k_cut_pairwise_trajectory__mean_replacement_pool_size,nearest_original_pool_size__mean_replacement_pool_size,random_original_pool_size__mean_replacement_pool_size,baseline_all_facilities__mean_trajectory_added,max_k_cut_mst_range_guard__mean_trajectory_added,max_k_cut_mst_trajectory__mean_trajectory_added,max_k_cut_original__mean_trajectory_added,max_k_cut_pairwise_range_guard__mean_trajectory_added,max_k_cut_pairwise_trajectory__mean_trajectory_added,nearest_original_pool_size__mean_trajectory_added,random_original_pool_size__mean_trajectory_added,baseline_all_facilities__mean_guard_fallback_rate,max_k_cut_mst_range_guard__mean_guard_fallback_rate,max_k_cut_mst_trajectory__mean_guard_fallback_rate,max_k_cut_original__mean_guard_fallback_rate,max_k_cut_pairwise_range_guard__mean_guard_fallback_rate,max_k_cut_pairwise_trajectory__mean_guard_fallback_rate,nearest_original_pool_size__mean_guard_fallback_rate,random_original_pool_size__mean_guard_fallback_rate
WORK,4,20,0.0,0.02623120771720041,0.02623120771720041,0.02623120771720041,0.02623120771720041,0.02623120771720041,0.10913831139816525,9.746062253186508,0.02539560475001963,0.0005127374999119638,0.0005279459499888617,0.0005727164001200436,0.000540462649996698,0.0005014039499656065,0.0004455507499187661,0.0005316030998528731,4.373607361000086,4.3487244937499785,4.348739702200055,4.348784472650186,4.348752218900063,4.348713160200032,4.348657306999985,4.348743359349919,0.0,-0.024882867250107667,-0.024867658800030768,-0.024822888349899586,-0.02485514210002293,-0.02489420080005402,-0.024950054000100863,-0.024864001650166757,0.9671675377468061,0.015915795586527295,0.015915795586527295,0.015915795586527295,0.015915795586527295,0.015915795586527295,0.015915795586527295,0.015915795586527295,,3.05,3.05,3.05,3.05,3.05,3.05,3.05,,1.75,1.75,0.0,1.75,1.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOT WORK,4,20,0.0,0.020598958686732984,0.7730338294969715,0.32379803170059296,0.10806678518277264,0.7730338294969715,0.29248549744970886,14.417455620703047,0.014132751950000966,0.0003437278500314278,0.0005489502000727952,0.0005226753000442841,0.00027249204995314356,0.000513089600008243,0.00039663304992245687,0.0004902892500012968,0.5983534829501878,0.5845644588502182,0.5847696812002596,0.584743406300231,0.58449322305014,0.5847338206001951,0.5846173640501092,0.5847110202501881,0.0,-0.013789024099969538,-0.013583801749928171,-0.013610076649956681,-0.013860259900047823,-0.013619662349992723,-0.013736118900078509,-0.013642462699999669,0.9690250739827885,0.011265540537060866,0.01845523874445819,0.01845523874445819,0.008692011125296158,0.01845523874445819,0.01845523874445819,0.01845523874445819,,1.75,3.2,3.2,1.4,3.2,3.2,3.2,,1.5,4.25,0.0,0.5,18.25,0.0,0.0,,0.5,0.0,0.0,0.75,0.0,0.0,0.0
NOT NECESSARY,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.034598655595096874,8.223114213119658,0.0692260194001392,0.0007331801999498566,0.000806973650060172,0.0008398302000387047,0.0008089802499853249,0.0007725066000148217,0.0006972463999773027,0.0008542702000340797,7.945282173650048,7.8767893344498585,7.876863127899969,7.8768959844499475,7.876865134499894,7.876828660849924,7.8767534006498865,7.876910424449943,0.0,-0.06849283920018934,-0.06841904575007902,-0.06838618920010049,-0.06841703915015387,-0.06845351280012438,-0.06852877300016189,-0.06837174920010511,0.9648079749607664,0.013814135221230647,0.013814135221230647,0.013814135221230647,0.013814135221230647,0.013814135221230647,0.013814135221230647,0.013814135221230647,,3.15,3.15,3.15,3.15,3.15,3.15,3.15,,0.25,0.25,0.0,0.25,0.25,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
